Date,Open Price,Close Price,Adj Close Price,Volume
20160118,606.45,609.31,607.59,7538952
20160119,620.75,603.87,613.88,6772977
20160120,612.45,608.16,608.73,7186957
20160123,628.47,631.62,625.61,8690741
20160124,629.33,644.20,644.20,13429390
20160125,652.21,676.24,661.37,10867897
20160126,694.27,694.27,693.41,9862322
20160127,707.14,715.15,706.85,14808622
20160130,718.01,742.04,740.89,21936685
20160131,758.06,777.79,766.35,32611344
20160201,795.24,804.40,801.82,11181830
20160202,841.87,841.87,841.87,9810991
20160203,858.18,823.28,840.73,44822327
20160206,818.13,820.99,830.43,18852293
20160207,829.57,823.85,834.15,15683037
20160208,837.87,875.63,863.61,33552627
20160209,906.52,884.21,905.09,28135317
20160210,901.09,915.10,940.56,30772139
20160213,960.87,896.79,932.27,2465670
20160215,858.18,886.78,889.93,27363643
20160216,903.09,845.59,859.89,11106291
20160217,832.43,849.60,853.89,16350313
20160220,861.32,812.41,827.57,15713796
20160221,829.57,868.76,860.75,46194396
20160222,895.36,903.66,902.80,24319887
20160223,947.71,915.39,937.99,41035487
20160224,912.24,943.71,948.29,24391091
20160227,953.43,995.49,993.20,23694044
20160228,1042.68,998.35,1015.80,36092929
20160229,1001.21,965.16,971.17,15438761
20160301,936.84,937.99,958.30,43494572
20160302,935.98,920.25,931.98,11730658
20160305,946.00,978.32,974.60,24658962
20160306,989.76,943.71,957.73,12973461
20160307,952.58,938.27,949.14,9578952
20160308,957.73,958.30,967.17,12274931
20160309,961.16,947.43,955.15,11450945
20160312,944.57,929.69,938.27,39994866
20160314,926.83,915.39,914.24,12090317
20160315,909.67,918.25,943.14,40137313
20160316,940.85,915.10,906.81,7332904
20160326,904.23,952.00,940.85,4724897
20160327,952.58,932.55,942.28,2315950
20160328,919.68,929.69,933.12,1738300
20160329,918.82,912.53,914.82,3041615
20160330,903.95,960.30,954.01,14658557
20160402,975.75,929.12,953.72,11949855
20160403,923.97,906.52,908.24,7665956
20160404,911.67,943.99,916.82,7910662
20160405,918.25,918.25,923.11,3366906
20160406,923.11,909.67,913.10,3253020
20160409,930.26,911.10,916.53,2691106
20160410,915.39,901.09,904.23,3488838
20160411,903.95,900.80,902.52,2303878
20160412,914.82,901.66,903.95,4582676
20160413,909.10,901.09,909.95,4129979
20160416,901.09,864.47,867.33,4694691
20160417,833.29,848.74,845.30,4071859
20160418,834.72,838.15,842.16,5488668
20160419,843.87,866.76,845.59,4896636
20160420,869.62,851.03,863.61,3039892
20160423,858.18,835.86,853.31,2557488
20160424,856.75,872.48,862.18,4026140
20160425,878.20,829.57,843.02,11252810
20160426,849.31,823.85,829.00,3900567
20160427,815.27,829.57,829.00,3788906
20160430,829.86,829.57,831.29,5502031
20160501,831.29,820.99,820.42,2594587
20160502,811.26,804.11,810.69,2681478
20160503,804.97,780.94,789.52,3537302
20160504,780.65,783.80,785.23,2229494
20160507,779.51,761.20,786.66,10739547
20160508,762.06,762.63,768.35,2526148
20160509,766.35,758.63,766.35,1380101
20160510,755.20,729.45,744.04,2869291
20160511,743.18,729.45,742.90,8448025
20160514,724.02,738.03,745.18,4917772
20160515,749.47,756.91,771.79,34570320
20160516,752.34,798.39,794.10,34092755
20160517,804.97,833.58,831.57,32063761
20160518,849.60,846.16,854.46,30365533
20160521,843.87,832.43,847.59,10678979
20160523,841.59,823.85,837.87,2724017
20160524,826.42,826.71,828.71,1834075
20160525,828.71,841.01,849.60,11645251
20160528,841.30,824.99,845.02,930688
20160529,825.85,837.01,865.61,20091849
20160530,831.00,831.57,850.74,1812959
20160531,830.14,826.14,855.89,7617105
20160601,835.01,829.86,849.60,933537
20160605,841.01,835.29,845.59,11626548
20160606,832.43,834.72,841.01,1041044
20160607,838.15,820.99,836.15,999776
20160608,823.85,812.41,831.57,1162720
20160611,806.97,790.67,812.12,1767157
20160612,795.24,794.39,797.25,1605253
20160613,784.09,775.22,792.67,844573
20160614,772.65,753.19,768.35,2287364
20160615,743.75,768.64,777.79,10110211
20160618,760.92,766.64,775.22,902418
20160619,763.78,756.63,770.93,1116785
20160620,752.34,749.47,759.49,1567599
20160621,752.34,772.07,758.63,801702
20160622,758.63,772.36,768.93,2921677
20160625,756.34,739.18,758.91,1337028
20160626,752.34,757.48,756.05,1492589
20160628,738.32,744.90,750.90,3042714
20160629,754.91,734.31,737.75,2847498
20160702,730.88,744.90,739.18,2110783
20160703,746.61,744.33,743.75,2112109
20160704,744.04,751.76,758.34,6622967
20160705,736.89,743.75,755.77,617518
20160709,755.48,740.61,752.05,800639
20160710,740.32,743.18,766.35,12409412
20160711,739.18,732.31,735.17,3517919
20160712,743.47,716.58,740.32,11044341
20160713,718.29,743.47,744.90,5718581
20160716,732.31,782.09,770.64,9872064
20160717,786.66,789.52,803.25,12943428
20160718,796.67,766.64,799.25,16800096
20160725,843.62,818.35,830.68,2831713
20160726,822.67,818.04,825.44,3679940
20160727,828.21,825.75,837.15,9787812
20160731,831.60,802.02,811.88,8634322
20160801,801.10,807.26,800.48,4177439
20160802,795.24,840.23,827.90,12073688
20160803,842.08,843.31,859.33,13515915
20160806,838.38,862.72,862.72,10683601
20160807,871.35,832.22,852.55,5040689
20160808,832.22,834.99,839.00,2441164
20160809,825.75,841.46,847.01,4432141
20160810,835.30,816.81,825.44,3540085
20160813,839.61,847.31,838.07,4572822
20160814,847.31,832.22,843.00,3747846
20160815,832.22,823.59,834.99,2049597
20160816,819.58,819.28,831.91,1216830
20160817,831.91,820.20,832.53,5639864
20160820,822.67,868.57,857.79,12706795
20160821,863.03,842.69,859.64,8018860
20160822,850.40,837.45,841.77,2711108
20160823,827.29,828.83,835.30,1884298
20160824,835.30,819.58,829.44,1978379
20160827,819.58,813.42,819.58,2520345
20160828,822.67,795.86,803.25,4123465
20160829,797.40,786.00,797.09,3082551
20160830,799.87,791.85,796.17,855133
20160831,785.69,788.77,794.32,1156473
20160903,778.91,784.15,787.23,1659889
20160904,773.68,762.58,769.36,3189848
20160905,758.27,793.70,777.68,1736301
20160906,799.25,781.07,789.70,5887000
20160907,801.41,771.52,784.77,3288493
20160910,785.69,767.20,779.53,1265916
20160911,761.66,757.96,773.98,1240686
20160913,764.74,751.80,759.19,2732369
20160914,765.36,771.21,772.13,5142293
20160917,770.29,757.96,769.05,1194126
20160918,768.44,755.19,766.28,3115762
20160919,770.29,760.12,765.97,588350
20160921,754.88,754.88,763.82,1086979
20160924,769.36,773.06,766.90,1450201
20160925,771.21,766.90,770.29,3795947
20160926,770.59,759.50,768.13,1317439
20160927,761.04,757.96,762.28,2376520
20160928,757.96,764.12,761.66,2284834
20161001,782.61,777.99,785.08,5268402
20161002,785.69,764.43,770.29,2697268
20161003,768.75,776.45,775.52,7017786
20161004,785.08,771.21,778.91,3550957
20161005,785.69,773.06,774.29,2935471
20161008,776.45,774.91,785.08,6225541
20161009,779.53,773.37,779.53,1532642
20161010,776.45,770.90,776.14,3176145
20161015,783.53,814.65,812.19,31776707
20161016,820.20,799.56,813.11,7462011
20161017,804.18,815.89,814.35,2482499
20161018,807.26,791.85,795.24,3755466
20161019,804.18,809.11,795.24,2972383
20161022,813.42,834.99,831.60,23482727
20161023,862.72,860.56,867.65,51052594
20161024,884.29,910.79,907.40,62295664
20161025,915.10,908.94,900.93,18500141
20161026,903.08,945.91,940.37,42013491
20161029,953.00,924.65,948.07,19124300
20161030,930.81,942.83,945.60,13129364
20161031,951.77,912.63,925.88,9932478
20161101,905.86,882.75,890.14,8600839
20161102,879.67,873.81,885.83,7238947
20161105,866.11,841.77,843.00,17816097
20161106,841.15,834.99,839.92,5871388
20161107,847.62,847.31,848.86,5984379
20161108,856.25,850.09,849.16,5549894
20161109,807.26,825.75,811.57,15063727
20161112,831.91,807.26,806.95,4515481
20161113,807.26,825.13,816.20,2470247
20161114,825.75,856.87,854.40,9632052
20161115,878.13,853.48,863.64,6751923
20161116,862.41,841.15,854.40,7120526
20161119,859.64,850.40,850.40,1253461
20161121,859.95,853.48,854.40,1899896
20161122,863.03,872.58,873.50,8010423
20161123,880.59,878.13,874.43,4277710
20161126,874.12,839.61,851.01,4354722
20161127,837.15,834.37,837.15,5191224
20161129,847.31,841.15,842.08,2695742
20161203,883.98,879.67,881.82,40452258
20161204,883.06,868.57,871.66,5824536
20161205,850.40,847.01,850.09,4608434
20161206,847.31,844.23,853.79,3581722
20161207,847.31,853.48,845.47,6755952
20161210,858.10,862.10,864.57,5311116
20161211,877.20,880.28,875.97,6197146
20161212,893.53,890.45,898.46,10621023
20161213,905.86,875.04,892.61,4991624
20161214,881.21,863.95,868.27,4392801
20161218,854.71,851.01,861.49,1596606
20161219,853.48,846.70,849.78,2776589
20161220,842.69,838.07,833.45,3560055
20161221,831.91,839.61,838.69,3130949
20161224,838.07,843.93,842.69,1997552
20161225,860.87,838.07,841.77,1683120
20161226,850.40,835.30,840.84,1437483
20161227,834.99,831.91,831.60,4089444
20161228,831.91,837.15,838.07,2196532
20161231,850.40,834.99,843.00,7572688
20170101,843.00,828.83,831.29,3331542
20170102,831.91,862.41,853.17,6510225
20170103,854.09,850.40,860.56,5097086
20170104,853.48,858.10,856.87,3265413
20170107,862.41,850.70,852.86,5636189
20170108,856.56,857.79,860.26,3857211
20170109,845.77,838.07,846.08,4448413
20170111,817.43,803.87,805.41,14083250
20170114,800.48,786.31,792.47,3468698
20170115,780.76,791.85,790.62,3120457
20170116,800.48,813.42,799.56,4550802
20170117,802.64,794.01,797.09,1790941
20170118,788.77,800.79,793.39,2925767
20170121,786.62,790.01,800.79,3626729
20170122,790.01,785.69,797.40,1954954
20170123,782.92,781.07,790.93,1783741
20170124,781.07,782.30,788.46,1326412
20170125,785.69,773.37,776.45,4355215
20170128,788.77,770.59,776.76,1399771
